套卷名称,题型,题号,题干,选项A,选项B,选项C,选项D,答案
第一套卷会议文献专项,单项选择题,11,"一个政党的纲领，是公开树立起来的一面旗帜，是表明党的性质的重要标志。新民主主义基本纲领是新民主主义革命总路线的具体展开和体现，为新民主主义革命指明了具体奋斗目标。具体阐述新民主主义经济、政治和文化纲领的是",《论联合政府》,《新民主主义论》,《论人民民主专政》,《战争和战略问题》,
第一套卷会议文献专项,单项选择题,12,"1950年6月6日至9日，中共七届三中全会在北京召开。这次会议分析了国际国内形势，总结了七届二中全会以来即新中国成立前后一年多的工作。毛泽东同志在会议上明确指出，新中国成立初期的中心任务是",调整巩固充实提高,开始向社会主义过渡,争取国家财政经济状况基本好转,在综合平衡中稳步前进的经济方针,
第一套卷会议文献专项,单项选择题,13,"1978年12月13日，邓小平同志在中央工作会议闭幕会上作题为《解放思想，实事求是，团结一致向前看》的讲话。他指出，首先是解放思想，只有思想解放了，我们才能正确地以马列主义、毛泽东思想为指导，解决过去遗留的问题，解决新出现的一系列问题。这个讲话",科学地评价了毛泽东同志和毛泽东思想的历史地位,是中国人民站起来后屹立于世界东方的宣言书,把改革开放和现代化建设推向新阶段的又一个宣言书,是解放思想开辟新时期新道路的宣言书,
第一套卷会议文献专项,单项选择题,14,"从1979年11月起，在邓小平同志的主持下，中共中央着手起草《关于建国以来党的若干历史问题的决议》。邓小平同志多次对决议稿的起草和修改提出意见。经过一年半时间的讨论和修改，在1981年6月27日到29日召开的中共十一届六中全会上，《关于建国以来党的若干历史问题的决议》获得一致通过。这一决议的通过标志着",重新确立了马克思主义思想政治和组织路线,"建设有中国特色的社会主义"命题的首次提出,"四项基本原则"的首次提出,党和国家在指导思想上拨乱反正的胜利完成,
第一套卷会议文献专项,单项选择题,15,"1987年党的十三大第一次比较系统地论述了我国社会主义初级阶段理论，明确概括和全面阐发了党的"一个中心、两个基本点"的基本路线，第一次对中国特色社会主义理论的主要内容做了系统概括。此次会议标志着",党在指导思想上拨乱反正的胜利完成,邓小平理论轮廓的形成,邓小平理论逐步走向成熟,邓小平理论确立为党的指导思想,
第一套卷会议文献专项,单项选择题,16,"2013年11月9日至12日，党的十八届三中全会在北京召开。全会审议通过《中共中央关于全面深化改革若干重大问题的决定》。党的十八届三中全会是继党的十一届三中全会之后又一次具有划时代意义的重要会议。本次会议实现了",从大幅落后于时代到大踏步赶上时代的新跨越,改革由局部探索破冰突围到系统集成全面深化的转变,新中国成立以来党的历史上具有深远意义的伟大转折,中华民族由不断衰落到根本扭转命运持续走向繁荣富强的伟大飞跃,
第一套卷会议文献专项,多项选择题,17,"中国产生了共产党，这是开天辟地的大事变。1921年7月23日，中国共产党第一次全国代表大会在上海法租界望志路106号开幕。中共一大","确定党的名称为"中国共产党"，通过了中国共产党的第一个纲领和决议",提出了反帝反封建的民主革命纲领,"在讨论党的实际工作计划时，决定集中精力组织工人",开始探索中国革命新道路,
第一套卷会议文献专项,多项选择题,18,"1922年7月，中国共产党第二次全国代表大会在上海召开。大会通过了《中国共产党第二次全国代表大会宣言》《中国共产党章程》以及9个决议案。以下属于中共二大会议内容的是",正式提出民主联合战线的主张,第一次明确地提出了反帝反封建的民主革命纲领,共产党员以个人身份加入国民党以实现国共合作,采取群众路线的革命新方法,
第一套卷会议文献专项,多项选择题,19,"1924年1月，中国国民党第一次全国代表大会由孙中山主持在广州举行。国民党一大","事实上确认了联俄、联共、扶助农工的三大革命政策",对三民主义作出新的解释,提出了反帝反封建的民主革命纲领,标志着第一次国共合作正式形成,
第一套卷会议文献专项,多项选择题,20,"1928年9月，中共中央给红四军前委的指示信中指出：先有农村红军，后有城市政权，这是中国革命的特征，这是中国经济基础的产物。毛泽东同志论证了红色政权能够长期存在并发展的主客观条件，提出了工农武装割据的思想的著作是","《星星之火，可以燎原》",《井冈山的斗争》,《反对本本主义》,"《中国的红色政权为什么能够存在？》",
第一套卷会议文献专项,多项选择题,21,"1929年12月下旬，红四军党的第九次代表大会在福建省上杭县古田村召开。这次会议史称古田会议。会议通过的毛泽东同志起草的决议案，确立了思想建党、政治建军原则。古田会议决议",是一次深刻的马克思主义思想教育运动,是党的历史上一个生死攸关的转折点,是中国共产党和红军建设的纲领性文献,是党和人民军队建设史上的重要里程碑,
第一套卷会议文献专项,多项选择题,22,"1935年1月召开的遵义会议在极其危急的情况下挽救了中国共产党、挽救了中国工农红军、挽救了中国革命，成为中国共产党历史上一个生死攸关的转折点。遵义会议",标志着毛泽东思想得到多方面展开而趋于成熟,标志着中国共产党在政治上开始走向成熟,开始确立马克思主义正确路线在党中央的领导地位,开始形成以毛泽东同志为核心的党的第一代中央领导集体,
第一套卷会议文献专项,多项选择题,23,"1938年5月至6月间，毛泽东同志发表《论持久战》的讲演，总结抗战10个月来的经验，集中全党智慧，系统地阐明了持久抗战的总方针。抗日战争之所以是持久战，是因为","日本在国际上失道寡助，中国在国际上得道多助","日本是小国，中国是大国","日本是强国，中国是弱国","日本发动的是野蛮的侵略战争，中国进行的是正义的反侵略战争",
第一套卷会议文献专项,多项选择题,24,"1942年1月28日，中共中央政治局通过了《关于抗日根据地土地政策的决定》，制定了抗战时期土地政策的三项基本原则，即减租减息、交租交息和奖励富农发展生产。这一决定表明",抗日根据地的土地剥削有所削弱,当时革命的主要对象并非封建地主阶级,党在根据地农村废除了封建剥削制度,各抗日阶层的利益得到了适当调节,
第一套卷会议文献专项,多项选择题,25,"1945年4月23日至6月11日，中国共产党第七次全国代表大会在延安举行。中共七大在党的历史上具有重要里程碑意义的原因包括",制定了党的政治路线,确立了毛泽东同志在党中央和全党的领导核心地位,"标志着党在政治上思想上组织上走向成熟",使实事求是的思想路线在全党范围确立起来,
第一套卷会议文献专项,多项选择题,26,"1945年，毛泽东同志在《论联合政府》中，进一步把新民主主义的政治、经济和文化基本纲领联系起来，进行了具体阐述，形成了新民主主义的基本纲领。新民主主义文化是无产阶级领导的人民大众的反帝反封建的文化，即民族的科学的大众的文化。其中，民族的是",反对一切封建思想和迷信思想,"反对帝国主义的压迫，主张中华民族尊严和独立",在形式和内容上有中国作风和中国气派,为全民族90%以上的工农大众服务,
第一套卷会议文献专项,多项选择题,27,"1949年3月5日至13日，中国共产党第七届中央委员会第二次全体会议在河北平山县西柏坡村召开。这次会议",确立了中国的新型政党制度,指出了由新民主主义社会转变为社会主义社会的发展方向,提出了两个务必的思想,规定了党在全国胜利后在政治经济外交方面应当采取的基本政策,
第一套卷会议文献专项,多项选择题,28,"1949年6月30日，毛泽东同志发表《论人民民主专政》一文。文章通过总结中国近百年革命的历史经验，阐明资产阶级的民主主义让位给工人阶级领导的人民民主主义，资产阶级共和国让位给人民共和国的历史必然性，论述了人民民主专政思想。《论人民民主专政》",总结了中国共产党成立以来领导民主革命的基本经验,为即将成立的新中国做了政治理论准备,创造性发展了马克思列宁主义国家学说,是中国革命的重心从农村转向城市的重要标志,
第一套卷会议文献专项,多项选择题,29,"1949年9月21日，中国人民政治协商会议第一届全体会议在北平中南海怀仁堂隆重开幕，会议代行全国人民代表大会的职权，通过了具有临时宪法性质的《中国人民政治协商会议共同纲领》，选举产生了中央人民政府委员会，宣告了中华人民共和国的成立。人民政协的召开",标志着中国的新型政党制度的确立,是中国几千年来阶级关系的最根本变革,通过的共同纲领是全国人民的大宪章,标志着社会主义制度的确立,
第一套卷会议文献专项,多项选择题,30,"1956年，对中国来说，是一个非常重要的年份，国内国外都发生了重大变化。毛泽东同志深刻总结了苏联在建设社会主义过程中的缺点和错误，在《论十大关系》一文中，明确提出",以苏为鉴独立自主地探索适合中国情况的社会主义建设道路,处理好第一大关系是重工业轻工业和农业的关系,明确提出要走一条有别于苏联的中国工业化道路,中国由农业国转变为工业国由新民主主义社会转变为社会主义社会,
第一套卷会议文献专项,多项选择题,31,"1956年9月15日至27日，中国共产党第八次全国代表大会在北京举行。八大是党在全国统一后召开的第一次全国代表大会，集中了党在探索过程中提出的新的理论观点和方针政策。中共八大",强调要走一条有别于苏联的中国工业化道路,提出在综合平衡中稳步前进的经济建设方针,提出了三个主体三个补充的思想,正确分析了社会主义改造完成后中国社会的主要矛盾和主要任务,
第一套卷会议文献专项,多项选择题,32,"1978年5月11日，《光明日报》发表特约评论员文章《实践是检验真理的唯一标准》，由此引发了一场关于真理标准问题的大讨论。这场全国性的讨论",明确地解决了党的思想路线问题,成为拨乱反正和改革开放的思想先导,揭开了社会主义改革开放的序幕,为党重新确立实事求是的思想路线做了思想理论准备,
第一套卷会议文献专项,多项选择题,33,"1978年12月18日到22日，党的十一届三中全会在北京召开。会议的主要任务是确定把全党工作重点转移到社会主义现代化建设上来。这次全会是新中国成立以来党的历史上具有深远意义的伟大转折。这次会议",重新确立了马克思主义的思想路线政治路线和组织路线,揭开了社会主义改革开放的序幕,形成了以邓小平同志为核心的党的中央领导集体,冲破长期左的错误的严重束缚,
第二套卷人物土地政策与思想解放专项,单项选择题,1,中国封建社会的文化思想体系核心是儒家思想。自汉武帝确立独尊儒术的政策以来儒家思想开始成为中国封建社会的正统思想。资产阶级新文化开始打破封建文化独占文化阵地局面的起点是,洋务运动,戊戌维新运动,新文化运动,五四运动,
第二套卷人物土地政策与思想解放专项,单项选择题,2,维新派的变法维新活动引起封建守旧派和反对改变封建政治制度的洋务派的反对他们利用自己的地位和权力对维新思想发动攻击。于是维新派与守旧派之间展开了一场激烈论战。这场论战实质上,开创了中国近代向西方学习的新风,是一场前所未有空前深刻的思想解放运动,是中国人民和中华民族自鸦片战争以来的第一次全面觉醒,是资产阶级思想与封建主义思想在中国的第一次正面交锋,
第二套卷人物土地政策与思想解放专项,单项选择题,3,"1905年11月，在同盟会机关报《民报》发刊词中，孙中山将同盟会的纲领概括为三大主义，即民族主义、民权主义、民生主义，后被称为三民主义。其中，民生主义指的是平均地权，其局限性表现在",没有推翻封建君主专制制度,没有保证广大劳动群众在国家中的地位,"没有正面触及封建土地所有制，不能满足广大农民的土地要求",没有从正面鲜明地提出反对帝国主义的主张,
第二套卷人物土地政策与思想解放专项,单项选择题,4,"五四以前的新文化运动是资产阶级民主主义的新文化反对封建主义的旧文化的斗争。新文化运动的倡导者以进化论观点和个性解放思想为主要武器，猛烈抨击以孔子为代表的往圣先贤，大力提倡新道德反对旧道德提倡新文学反对旧文学包括提倡白话文反对文言文。新文化运动的倡导者批判孔学主要目的是",给中国发展资本主义扫清障碍,反对产生封建思想的社会制度,争取个人的个性解放,否定孔学的历史作用,
第二套卷人物土地政策与思想解放专项,单项选择题,5,"早在1916年李大钊就说过代议政治虽今犹在试验之中其良其否难以确知其存其易亦未可测。毛泽东同志在1917年也说过吾意即西方思想亦未必尽是几多之部分亦应与东方思想同时改造也。这表明以李大钊为代表的中国先进分子",逐步找到了适合国情的救国之路,由向西方学习转为以俄为师,希望将西方民主融入东方思想,对西方民主有了较清醒的认知,
第二套卷人物土地政策与思想解放专项,单项选择题,6,"1840年鸦片战争以后，中国逐步成为半殖民地半封建社会，国家蒙辱人民蒙难文明蒙尘中华民族遭受了前所未有的劫难。鸦片战争以后先进的中国人开始睁眼看世界。实现了中国人民和中华民族自鸦片战争以来第一次全面觉醒的历史事件是",中日甲午战争,戊戌维新运动,五四运动,一二九运动,
第二套卷人物土地政策与思想解放专项,单项选择题,7,"1928年12月，毛泽东同志在井冈山主持制定了《井冈山土地法》，以立法的形式首次肯定了广大农民以革命的手段获得土地的权利。1929年4月毛泽东同志主持制定了江西兴国县土地法。这部土地法对井冈山土地法的一个原则性纠正是",改没收一切土地为没收一切公共土地及地主阶级的土地,改联合中农限制富农为地主不分田富农分坏田,改平均地权为平均地权节制资本,改减租减息为耕者有其田,
第二套卷人物土地政策与思想解放专项,单项选择题,8,抗日民主根据地是认真贯彻和实现中国共产党全面抗战路线坚持抗战和争取胜利的坚强阵地。中国共产党在抗日根据地实行的土地政策是,节制资本,三三制,限制富农,减租减息,
第二套卷人物土地政策与思想解放专项,单项选择题,9,"习近平总书记指出延安时期为了解决党内存在的思想分歧宗派主义等问题我们党开展了大规模的整风运动使全党达到了空前的团结和统一为夺取抗战胜利和全国解放奠定了强大思想政治基础。延安整风运动最主要的任务是",反对宗派主义,反对官僚主义,反对主观主义,反对党八股,
第二套卷人物土地政策与思想解放专项,单项选择题,10,"2025年7月7日是全民族抗战爆发88周年纪念日。习近平总书记在参观百团大战纪念馆时强调百团大战的历史壮举充分展现了我们党在全民族抗战中的中流砥柱作用要求讲好抗战故事把伟大抗战精神一代代传下去。下列关于伟大抗战精神表述错误的是",解放思想实事求是的思想路线,天下兴亡匹夫有责的爱国情怀,视死如归宁死不屈的民族气节,不畏强暴血战到底的英雄气概,
第二套卷人物土地政策与思想解放专项,单项选择题,11,"1950年中华人民共和国土地改革法颁布，这个法律规定废除地主阶级封建剥削的土地所有制实行农民的土地所有制借以解放农村生产力发展农业生产为新中国的工业化开辟道路。该法在对待富农的问题上的政策是",征收富农多余的土地财产,限制富农经济,保存富农经济,由逐步限制到最后消灭富农剥削,
第二套卷人物土地政策与思想解放专项,单项选择题,12,"我国的社会主义改造是从1952年过渡时期总路线提出后全面展开的。它的主要内容是对农业手工业资本主义工商业进行社会主义改造。农业社会主义改造所遵循的原则是",互助合作化,自愿互利典型示范和国家帮助,积极领导稳步前进,循序渐进,
第二套卷人物土地政策与思想解放专项,单项选择题,13,"1978年5月10日，中央党校内部刊物《理论动态》刊登《实践是检验真理的唯一标准》一文。次日《光明日报》以特约评论员名义公开发表这篇文章新华社向全国转发。在邓小平同志的领导和许多老一辈革命家的支持下一场关于真理标准问题的大讨论迅速在全党全社会展开。这场深刻而广泛的思想解放运动",成为解放思想开辟新时期新道路的宣言书,成为正本清源拨乱反正和改革开放的思想先导,标志着党在指导思想上的拨乱反正胜利完成,标志着党重新确立了马克思主义的思想路线政治路线和组织路线,
第二套卷人物土地政策与思想解放专项,单项选择题,14,"在纪念邓小平同志诞辰120周年座谈会上，习近平总书记指出邓小平同志留给我们最重要的思想财富就是以他为主创立的邓小平理论。邓小平理论是马克思主义中国化时代化的重要里程碑。邓小平理论的精髓是",实事求是群众路线独立自主,解放思想实事求是,"走自己的道路，建设有中国特色的社会主义","以经济建设为中心，坚持四项基本原则，坚持改革开放",
第二套卷人物土地政策与思想解放专项,单项选择题,15,"习近平总书记指出，解决农业农村发展面临的各种矛盾和问题，根本要靠深化改革。我国农村改革是从调整农民和土地的关系开启的。新形势下深化农村改革主线仍然是处理好农民和土地的关系。最大的政策就是",健全推进新型城镇化体制机制,坚持和完善农村基本经营制度,完善强农惠农富农支持制度,深化土地制度改革,
第二套卷人物土地政策与思想解放专项,单项选择题,16,"全面建设社会主义现代化国家，最艰巨最繁重的任务依然在农村，最广泛最深厚的基础依然在农村。农业农村农民问题是关系国计民生的根本性问题必须始终把解决好三农问题作为全党工作重中之重。新时代新征程三农工作的总抓手是",推进乡村全面振兴,增加农民收入,学习运用千万工程经验,确保重要农产品特别是粮食供给,
第二套卷人物土地政策与思想解放专项,多项选择题,17,"邓小平同志指出社会主义究竟是个什么样子苏联搞了很多年也并没有完全搞清楚。可能列宁的思路比较好搞了个新经济政策但是后来苏联的模式僵化了。列宁新经济政策的主要内容有",允许私人自由贸易,采取余粮收集制,恢复商品货币关系,允许私人小工业企业发展,
第二套卷人物土地政策与思想解放专项,多项选择题,18,"毛泽东同志是伟大的马克思主义者，伟大的无产阶级革命家战略家理论家，他创造性地解决了马克思列宁主义基本原理同中国实际相结合的一系列重大问题，开辟了以农村包围城市最后夺取全国胜利的革命道路。毛泽东同志为中国革命新道路探索做出的伟大贡献有",领导井冈山革命根据地的斗争,成立工农红军第四军,起草古田会议决议,"提出地主不分田，富农分坏田的主张",
第二套卷人物土地政策与思想解放专项,多项选择题,19,"19世纪70年代以后，中国官吏和知识分子中少数爱国的有识之士，开始考虑中国从传统社会向现代社会转变的问题。郑观应的《盛世危言》就是关于这一问题思考的代表作。他不仅主张学习西方的科学技术同时也要求吸纳西方的政治经济学说具有重要的思想启蒙意义。郑观应主张",大力发展民族工商业,同西方国家进行商战,实行君民共主制度,"中学为体，西学为用",
第二套卷人物土地政策与思想解放专项,多项选择题,20,"19世纪90年代，维新派与守旧派之间展开了一场激烈论战。维新派与守旧派的这场论战，实质上是资产阶级思想与封建主义思想在中国的第一次正面交锋。论战主要围绕的问题是",要不要变法,要不要社会革命,"要不要兴民权、设议院，实行君主立宪",要不要废八股改科举和兴西学,
第二套卷人物土地政策与思想解放专项,多项选择题,21,"1905—1907年，围绕中国究竟是采用革命手段还是改良方式这个问题，革命派与改良派分别以《民报》《新民丛报》为主要舆论阵地，展开了一场大论战。这场论战划清了革命与改良的界限传播了民主革命思想推进了革命形势的发展。但是这场论战也暴露了革命派在思想理论方面的弱点主要有",不敢正面回答革命是否会招致帝国主义干涉,把改造中国的国民性置于优先的地位,把国民局限在资产阶级及其知识分子的范围,对封建地主土地所有制是否应该改革的问题语焉不详,
第二套卷人物土地政策与思想解放专项,多项选择题,22,"孙中山先生是伟大的民族英雄伟大的爱国主义者中国民主革命的伟大先驱。他一生以革命为己任立志救国救民为中华民族作出了彪炳史册的贡献。孙中山先生的伟大表现在",成立护法军政府并举起了护法的旗帜,组织了席卷半个中国的护国运动,"提出了联俄、联共、扶助农工三大政策",发动武装反袁的二次革命,
第二套卷人物土地政策与思想解放专项,多项选择题,23,"1915年兴起的新文化运动，是中国近代史上一场前所未有的启蒙运动和空前深刻的思想解放运动。这场运动动摇了封建正统思想的统治地位打开了遏制新思想涌流的闸门在中国社会上掀起了一股思想解放的潮流为马克思主义在中国传播创造了思想文化上的有利条件但是五四以前的新文化运动也存在一些局限性主要体现在","提倡资产阶级民主主义，并不能为人们提供一种有效的思想武器去认识和改造中国","离开革命实践，仅仅依靠少数人在思想文化领域内的斗争，并不能从根本上改造国民性","许多领导人物没有马克思主义的批判精神，使用的方法一般是资产阶级的方法","批判孔学缺乏理性，完全否定了孔学的历史作用，把孔学说得一无是处",
第二套卷人物土地政策与思想解放专项,多项选择题,24,"五四以后的新文化运动发展到了一个新阶段，马克思主义开始逐步在思想文化领域中发挥指导作用。中国先进分子在接受马克思主义之后继承了五四运动的民主和科学的精神并赋予它们新的含义。马克思主义的传播并没有中断或取消五四运动以前开始的反封建的思想启蒙工作中国的先进分子克服了以往启蒙者的弱点有力推动了反封建的启蒙运动主要体现在","把斗争的矛头集中指向了封建主义的正统思想，把改造中国的国民性置于优先地位","以唯物史观为武器，从反对封建思想入手，提出必须反对产生封建思想的社会制度","把反封建思想斗争的立足点，从争取个人的个性解放，扩展到争取人民群众的社会解放","把反封建的斗争方式，从少数人进行的思想批判，逐步发展为人民群众的革命实践",
第二套卷人物土地政策与思想解放专项,多项选择题,25,"习近平总书记在纪念陈云同志诞辰120周年座谈会上的讲话中指出，社会主义改造基本完成后，陈云同志积极探索适应我国生产力发展的社会主义经济制度和经济体制，提出三个主体三个补充的思想。这一思想",为克服苏联模式弊端提供了重要启示,"对突破苏联模式，探索经济体制改革的道路具有重要指导意义",确定我国经济体制改革的目标是建立社会主义市场经济体制,从理论上突破了计划经济和市场经济是制度属性的观念,
第二套卷人物土地政策与思想解放专项,多项选择题,26,"为了从思想上认真清理主观主义教条主义在党内的影响，1941年至1945年，中国共产党以延安为中心开展了一场整风运动。全党普遍整风的内容是反对主观主义宗派主义党八股以树立马克思主义的作风。延安整风运动",使全党特别是党的高级干部对中国革命基本问题的认识达到了一致,"使全党团结在毛泽东同志的旗帜下，实现了党的空前统一和团结",是一次深刻的马克思主义思想教育运动,使实事求是的思想路线在全党范围确立起来,
第二套卷人物土地政策与思想解放专项,多项选择题,27,"人民解放军由战略防御转入战略进攻的新形势，要求在解放区更加普遍深入地开展土地制度改革，以进一步调动广大农民的革命和生产积极性，支援解放战争。1947年7月至9月中国共产党在西柏坡召开全国土地会议制定和通过了中国土地法大纲。这是一个彻底反封建的土地革命纲领。这个土地纲领明确规定","废除封建性及半封建性剥削的土地制度，实行耕者有其田的土地制度","废除地主阶级封建剥削的土地所有制，实行农民的土地所有制","废除一切地主的土地所有权，废除一切乡村中在土地制度改革以前的债务","乡村中一切地主的土地及公地，由乡村农会接收，按人口平均分配给无地或少地的农民",
第二套卷人物土地政策与思想解放专项,多项选择题,28,"农业的社会主义改造，实际上在过渡时期总路线提出前就已启动。1951年12月，中共中央印发的《关于农业生产互助合作的决议（草案）》指出，中国农民在土改基础上所发扬起来的生产积极性，集中地表现在",个体经济的积极性,集体经济的积极性,劳动互助的积极性,包干到户的积极性,
第二套卷人物土地政策与思想解放专项,多项选择题,29,"习近平总书记在纪念毛泽东同志诞辰130周年座谈会上，深情回顾了毛泽东同志领导中国革命建设的伟大实践，高度评价毛泽东同志为中华民族中国人民建立的丰功伟绩。毛泽东同志的伟大表现在",带领人民开创了马克思主义中国化的历史进程,锻造了伟大光荣正确的中国共产党,建立了人民当家作主的新中国,缔造了战无不胜的新型人民军队,
第二套卷人物土地政策与思想解放专项,多项选择题,30,"1951年12月，中共中央印发的《关于农业生产互助合作的决议（草案）》指出，中国农民在土改基础上所发扬起来的生产积极性，集中地表现在",个体经济的积极性,集体经济的积极性,劳动互助的积极性,包干到户的积极性,
第二套卷人物土地政策与思想解放专项,多项选择题,31,"邓小平同志是全党全军全国各族人民公认的享有崇高威望的卓越领导人，伟大的马克思主义者，党的第二代中央领导集体的核心，中国社会主义改革开放和现代化建设的总设计师，中国特色社会主义道路的开创者。邓小平同志的伟大表现在",带领党和人民开辟了社会主义现代化建设新局面,领导了伟大历史转折,确立了实现祖国完全统一的正确路径,坚定捍卫了光辉的社会主义旗帜,
第二套卷人物土地政策与思想解放专项,多项选择题,32,"在文化传承发展座谈会上，习近平总书记提出，更重要的是，第二个结合是又一次的思想解放，让我们能够在更广阔的文化空间中，充分运用中华优秀传统文化的宝贵资源，探索面向未来的理论和制度创新。第二个结合是又一次的思想解放，主要体现在",造就了一个有机统一的新的文化生命体,筑牢了中国特色社会主义道路根基,开启了广阔的理论和实践创新空间,巩固了中华民族的文化主体性,
第二套卷人物土地政策与思想解放专项,多项选择题,33,"农村基本经营制度是党的农村政策的基石，是当前推动乡村全面振兴的制度基础。党的二十大报告提出，要巩固和完善农村基本经营制度，发展新型农村集体经济，发展新型农业经营主体和社会化服务，发展农业适度规模经营。党的二十届三中全会强调，要巩固和完善农村基本经营制度，完善强农惠农富农支持制度，深化土地制度改革。农村基本经营制度的优势在于",适应社会主义市场经济发展要求,极大解放和发展了农村社会生产力,有利于稳定农村土地承包关系,符合我国国情农情实际,
第三套卷马克思主义基本原理新命题专项,单项选择题,1,"马克思、恩格斯并不是先知先觉的圣人，他们从小面对的也是一个充满矛盾的现实世界，在家庭、学校和社会的影响下，也曾接受过那个时代的唯心主义和资产阶级民主主义思想。1844年2月，马克思、恩格斯发表在《德法年鉴》上的论文表明他们",完成了从唯心主义向唯物主义的转变,揭示了资本主义生产关系的秘密,全面阐述了马克思主义理论体系,实现了历史观上的伟大变革,
第三套卷马克思主义基本原理新命题专项,单项选择题,2,"衡量和比较动物速度的一种方法是，观察它们移动特定距离所需的时间。从这个角度看，行动最迟缓的动物或许是海葵：它们以每小时10至15厘米的速度缓慢蠕动。而这种移动通常发生在海葵寻找新居所的时候。其余时间它们几乎静止不动。这种衡量动物速度的方式体现了",相对静止是运动的衡量尺度,时间是物质运动存在的观念载体,"物质运动是绝对的，时空是相对的",运动是物质的唯一特性,
第三套卷马克思主义基本原理新命题专项,单项选择题,3,"人工智能分为多个分支，但在科学领域应用最广泛的是机器学习和深度学习。人工智能能够通过大量数据和足够的计算能力来训练模型、识别模型、进行预测，甚至生成新的解决方案。人工智能通过深度学习能够生成新的解决方案说明",人工智能已经真正具备了一定的社会属性,科学技术正在取代劳动者成为实践的主体,"科学技术发展日新月异，已经成为社会发展的决定力量","人工智能是人的意识能动性的一种特殊表现，可以延伸和拓展人类能力",
